source_image,track_id,vehicle_id,vehicle_class,raw_ocr_text,plate_text
D2_S20251218110644_E20251218111648_000055_jpg.rf.48bce0a48289831bd1b661f6f02f15df.jpg,20260915_133647_490_v2,20260915_133647_490_v2,Truck,,
D2_S20251218110644_E20251218111648_000055_jpg.rf.48bce0a48289831bd1b661f6f02f15df.jpg,20260915_133647_490_v1,20260915_133647_490_v1,Truck,83-6852,836852
MARCH11_4_4762_jpg.rf.3f4986d5bb4cf7a0c7d55ca3eb5dd754.jpg,20260915_133647_696_v1,20260915_133647_696_v1,Car,J8S B,UNRECOGNIZED
MARCH13_5_851_jpg.rf.3b7d678fc3fff7fae24b113770b480f4.jpg,20260915_133705_013_v2,20260915_133705_013_v2,Car,,
MARCH13_5_851_jpg.rf.3b7d678fc3fff7fae24b113770b480f4.jpg,20260915_133705_013_v3,20260915_133705_013_v3,Car,,
MARCH13_5_851_jpg.rf.3b7d678fc3fff7fae24b113770b480f4.jpg,20260915_133705_013_v4,20260915_133705_013_v4,Car,,
MARCH13_5_851_jpg.rf.3b7d678fc3fff7fae24b113770b480f4.jpg,20260915_133705_013_v5,20260915_133705_013_v5,Car,,
MARCH13_5_851_jpg.rf.3b7d678fc3fff7fae24b113770b480f4.jpg,20260915_133705_013_v6,20260915_133705_013_v6,Car,,
MARCH13_5_851_jpg.rf.3b7d678fc3fff7fae24b113770b480f4.jpg,20260915_133705_013_v1,20260915_133705_013_v1,Car,NO_TEXT,UNRECOGNIZED
MARCH13_5_851_jpg.rf.3b7d678fc3fff7fae24b113770b480f4.jpg,,,,LAB 4669,LAB4669
MARCH13_9_2024_jpg.rf.00a93def3faec35c067607d7705950d3.jpg,20260915_133653_443_v2,20260915_133653_443_v2,Car,,
MARCH13_9_2024_jpg.rf.00a93def3faec35c067607d7705950d3.jpg,20260915_133653_443_v3,20260915_133653_443_v3,Shuttle,,
MARCH13_9_2024_jpg.rf.00a93def3faec35c067607d7705950d3.jpg,20260915_133653_443_v4,20260915_133653_443_v4,Car,,
MARCH13_9_2024_jpg.rf.00a93def3faec35c067607d7705950d3.jpg,20260915_133653_443_v5,20260915_133653_443_v5,Car,,
MARCH13_9_2024_jpg.rf.00a93def3faec35c067607d7705950d3.jpg,20260915_133653_443_v6,20260915_133653_443_v6,Car,,
MARCH13_9_2024_jpg.rf.00a93def3faec35c067607d7705950d3.jpg,20260915_133653_443_v1,20260915_133653_443_v1,Car,CAE 8797,CAE8797
MARCH9_3_12177_jpg.rf.364ed140eb31f20336729a67ec30414b.jpg,20260915_133705_237_v1,20260915_133705_237_v1,Car,城,UNRECOGNIZED
MARCH9_3_12839_jpg.rf.8ea3a5a118ef71f090ca5e12c5e4549f.jpg,20260915_133707_088_v1,20260915_133707_088_v1,Truck,,
MARCH9_3_12839_jpg.rf.8ea3a5a118ef71f090ca5e12c5e4549f.jpg,20260915_133707_088_v2,20260915_133707_088_v2,Motorcycle,,
MARCH9_3_291_jpg.rf.c2343a9769a24c8a301d4081a77a228a.jpg,20260916_092231_793_v1,20260916_092231_793_v1,Jeepney,,
MARCH9_3_291_jpg.rf.c2343a9769a24c8a301d4081a77a228a.jpg,20260916_092231_793_v2,20260916_092231_793_v2,Shuttle,NO_TEXT,UNRECOGNIZED
MARCH9_4_9532_jpg.rf.b93990c8e53796e6e3bd1ed9a682be61.jpg,20260915_133647_594_v1,20260915_133647_594_v1,Bicycle,,
VID_3_279_jpg.rf.c34b94e0183e3d809114809662b2989e.jpg,20260915_133659_179_v1,20260915_133659_179_v1,Tricycle,702CAM,702CAM
VID_6_14898_jpg.rf.80393d919cfd1e3b8b2cc9ca6ddc66dd.jpg,20260915_133653_013_v2,20260915_133653_013_v2,Motorcycle,,
VID_6_14898_jpg.rf.80393d919cfd1e3b8b2cc9ca6ddc66dd.jpg,20260915_133653_013_v3,20260915_133653_013_v3,Tricycle,,
VID_6_14898_jpg.rf.80393d919cfd1e3b8b2cc9ca6ddc66dd.jpg,20260915_133653_013_v1,20260915_133653_013_v1,Motorcycle,387XAS,387XAS
