epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.909,2.07265,2.96899,0.87284,0.82587,0.82823,0.87447,0.46128,1.62035,1.03386,0.81175,0.000666184,0.000666184,0.000666184
2,580.577,1.82261,1.06505,0.8154,0.81995,0.82877,0.89544,0.49835,1.56454,0.85044,0.81499,0.00129986,0.00129986,0.00129986
3,860.924,1.75548,0.98327,0.8072,0.87531,0.82586,0.91111,0.5222,1.48133,0.8144,0.80034,0.00190054,0.00190054,0.00190054
4,1138.62,1.70516,0.92643,0.80118,0.83842,0.87316,0.92458,0.55924,1.40236,0.76659,0.79592,0.0018515,0.0018515,0.0018515
5,1426.56,1.64114,0.88455,0.79277,0.85098,0.8713,0.92532,0.55176,1.43223,0.73092,0.81118,0.001802,0.001802,0.001802
6,1710.29,1.60397,0.84754,0.79291,0.85132,0.89465,0.93693,0.59415,1.3374,0.7033,0.79581,0.0017525,0.0017525,0.0017525
7,1993.26,1.58304,0.82871,0.78756,0.89665,0.84529,0.9312,0.59479,1.31561,0.6964,0.79288,0.001703,0.001703,0.001703
8,2272.72,1.5472,0.80675,0.7863,0.84742,0.88821,0.93192,0.59581,1.27698,0.70732,0.78892,0.0016535,0.0016535,0.0016535
9,2555.44,1.51397,0.78871,0.78316,0.85928,0.88419,0.94372,0.60047,1.29708,0.67666,0.79555,0.001604,0.001604,0.001604
10,2843.44,1.50488,0.77634,0.78132,0.90246,0.86735,0.94393,0.60198,1.26864,0.67053,0.78854,0.0015545,0.0015545,0.0015545
11,3133.2,1.47371,0.75492,0.77893,0.87455,0.90441,0.94928,0.6252,1.23101,0.6721,0.77781,0.001505,0.001505,0.001505
12,3415.28,1.46844,0.75034,0.77634,0.87871,0.89338,0.944,0.61446,1.25549,0.65588,0.78911,0.0014555,0.0014555,0.0014555
