epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1980.05,0.78613,1.76053,1.00294,0.69265,0.73216,0.75961,0.64056,0.59731,0.75239,0.90465,0.00999889,0.00333296,0.00999889,0.00333296,0.00999889,0.00333296,0.00999889,0.00333296
2,3417.42,0.77522,0.95443,0.99531,0.6971,0.78197,0.79717,0.67224,0.60494,0.70932,0.91829,0.0196029,0.0065343,0.0196029,0.0065343,0.0196029,0.0065343,0.0196029,0.0065343
3,4786.96,0.79983,0.95422,1.01234,0.78068,0.7096,0.81226,0.6813,0.60483,0.68236,0.91756,0.0288109,0.00960365,0.0288109,0.00960365,0.0288109,0.00960365,0.0288109,0.00960365
4,6172.92,0.78413,0.92155,1.00576,0.76233,0.76985,0.8394,0.71362,0.58989,0.62992,0.90907,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,7692,0.74237,0.83718,0.98437,0.7839,0.81729,0.87139,0.75195,0.55603,0.58311,0.89392,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,9191.46,0.71139,0.78377,0.9682,0.80239,0.81477,0.88045,0.75919,0.5509,0.56068,0.8882,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,10746.2,0.69133,0.74897,0.95719,0.81647,0.8166,0.88719,0.77048,0.53148,0.54051,0.88041,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,12324,0.67843,0.72729,0.95157,0.81327,0.83422,0.89692,0.78081,0.52603,0.52187,0.87365,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,13898.2,0.66483,0.70391,0.94519,0.83371,0.83433,0.90311,0.78804,0.51587,0.49925,0.87151,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,15474.2,0.6561,0.68686,0.94188,0.83541,0.8457,0.90738,0.79697,0.50684,0.49209,0.86774,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,17051.1,0.64478,0.669,0.93784,0.82833,0.86312,0.91334,0.80541,0.49934,0.47998,0.8654,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,18627.2,0.63903,0.65745,0.93384,0.84095,0.85984,0.91646,0.81161,0.48347,0.46621,0.85983,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,20203,0.63256,0.64759,0.93037,0.84727,0.85945,0.9173,0.81189,0.48645,0.45556,0.85868,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,21786.7,0.62422,0.63724,0.92721,0.84796,0.85676,0.91984,0.81548,0.484,0.45443,0.85786,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,23365.8,0.6188,0.62702,0.92545,0.84513,0.87158,0.92232,0.81821,0.47762,0.44756,0.85623,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,24938.2,0.61446,0.61357,0.92286,0.84654,0.87248,0.92473,0.82073,0.47605,0.43998,0.85576,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,26523.1,0.60974,0.6056,0.92103,0.85859,0.86409,0.92547,0.82323,0.46975,0.43776,0.85227,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,28100.3,0.6059,0.59786,0.91794,0.85106,0.87966,0.92694,0.82493,0.47025,0.43519,0.85244,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,29670.7,0.60152,0.58979,0.91657,0.85511,0.8807,0.92753,0.82695,0.46748,0.43146,0.85122,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
